,Correctly predicted attrition,Correctly predicted staying,Incorrectly predicted staying,Incorrectly predicted attrition
0.0,1.0,0.0,,0.9047619047619048
0.05,1.0,0.5488721804511278,0.0,0.8108108108108109
0.1,0.9285714285714286,0.6842105263157895,0.010869565217391304,0.7636363636363637
0.15000000000000002,0.9285714285714286,0.8120300751879699,0.009174311926605505,0.6578947368421053
0.2,0.9285714285714286,0.849624060150376,0.008771929824561403,0.6060606060606061
0.25,0.8571428571428571,0.924812030075188,0.016,0.45454545454545453
0.30000000000000004,0.8571428571428571,0.9323308270676691,0.015873015873015872,0.42857142857142855
0.35000000000000003,0.6428571428571429,0.9473684210526315,0.03816793893129771,0.4375
0.4,0.5714285714285714,0.9548872180451128,0.045112781954887216,0.42857142857142855
0.45,0.5714285714285714,0.9699248120300752,0.044444444444444446,0.3333333333333333
0.5,0.5,0.9924812030075187,0.050359712230215826,0.125
0.55,0.5,0.9924812030075187,0.050359712230215826,0.125
0.6000000000000001,0.42857142857142855,0.9924812030075187,0.05714285714285714,0.14285714285714285
0.65,0.35714285714285715,0.9924812030075187,0.06382978723404255,0.16666666666666666
0.7000000000000001,0.2857142857142857,0.9924812030075187,0.07042253521126761,0.2
0.75,0.21428571428571427,0.9924812030075187,0.07692307692307693,0.25
0.8,0.14285714285714285,1.0,0.08275862068965517,0.0
0.8500000000000001,0.14285714285714285,1.0,0.08275862068965517,0.0
0.9,0.0,1.0,0.09523809523809523,
0.9500000000000001,0.0,1.0,0.09523809523809523,
1.0,0.0,1.0,0.09523809523809523,
